,State,cases,deaths,All Occupations 2018,Computer Mathematical Scientists 2018,Computer Mathematical Scientists 2018 (Percent),Engineers 2018,Engineers 2018 (Percent),Life Scientists 2018,Life Scientists 2018 (Percent),Physical Scientists 2018,Physical Scientists 2018 (Percent),Science Engineer Workers 2018,Science Engineer Workers 2018 (Percent),Social Scientists 2018,Social Scientists 2018 (Percent),Technical Workers 2018,Technical Workers 2018 (Percent)
22,Michigan,2023047,171867,4317830.0,110840.0,2.567030198039293,117110.0,2.7122420289821507,8170.0,0.1892154160770572,9390.0,,253850.0,5.879110571745527,8330.0,0.19292098114098985,59390.0,1.3754594321684734
23,Minnesota,377850,18934,2867700.0,92090.0,3.2112843044948924,37920.0,1.3223140495867771,9250.0,0.3225581476444537,6130.0,,154630.0,5.392126094082365,9240.0,0.3222094361334868,42520.0,1.4827213446315863
24,Mississippi,358459,15047,1123830.0,11910.0,1.0597688262459624,8780.0,0.7812569516741856,2490.0,0.2215637596433624,1740.0,,26270.0,2.3375421549522617,1350.0,0.1201249299271242,10120.0,0.9004920673055533
25,Missouri,395952,17924,2804780.0,83620.0,2.9813389998502564,27090.0,0.9658511541012128,6320.0,0.2253296158700505,4750.0,,125620.0,4.478782649619578,6507.857142857143,0.2427490429334597,30660.0,1.0931338643316053
26,Montana,23875,676,463280.0,8280.0,1.7872560870316003,4170.0,0.9001036090485236,2410.0,0.5202037644620964,1460.0,,17830.0,3.8486444482818167,1510.0,0.32593679848040064,7730.0,1.6685373855983423
27,Nebraska,259429,3535,978290.0,28180.0,2.880536446248045,7270.0,0.7431334266935162,3150.0,0.32199041184106963,1250.0,,42200.0,4.3136493268867095,2350.0,0.24021506915127416,12010.0,1.2276523321305544
28,Nevada,259808,11975,1347130.0,19520.0,1.4490064062117245,7600.0,0.5641623302873516,1410.0,0.10466695864541654,2210.0,,32690.0,2.4266403390912528,1950.0,0.14475217685004416,13670.0,1.0147498756615918
29,New Hampshire,117245,4507,652920.0,20520.0,3.142804631501562,9890.0,1.5147338111866688,1450.0,0.2220792746431416,1350.0,,34780.0,5.326839429026529,1570.0,0.2404582490963671,10790.0,1.6525761195858604
30,New Jersey,5645458,332869,4050170.0,136850.0,3.3788705165462187,38250.0,0.9444048027613656,14180.0,0.3501087608668278,13130.0,,211240.0,5.2155835434068205,8840.0,0.21826244330484887,52360.0,1.292785241113336
31,New Mexico,177827,6867,811680.0,15090.0,1.8591070372560616,12310.0,1.5166075300611082,1690.0,0.2082101320717524,4640.0,,36630.0,4.512862211709048,2890.0,0.35605164596885475,13620.0,1.6780011827321113
32,New York,15041806,1081194,9385620.0,254650.0,2.7131931614533724,74040.0,0.7888663721736017,19950.0,0.21255921292360014,15850.0,,401580.0,4.278673119090693,37090.0,0.3951790078865328,99470.0,1.0598127774190729
33,North Carolina,568719,19258,4383210.0,132200.0,3.016054444117439,45440.0,1.0366831614273555,12080.0,0.27559710805551185,11590.0,,213120.0,4.862190038807176,11800.0,0.26920909561713896,53450.0,1.2194259458250918
34,North Dakota,55932,1219,416550.0,7570.0,1.8173088464770133,4050.0,0.9722722362261434,1510.0,0.3625015004201176,850.0,,14750.0,3.540991477613732,780.0,0.18725243068059053,5680.0,1.3635818029048132
35,Ohio,908834,47879,5416810.0,147330.0,2.7198664896867344,72760.0,1.343225994635219,10070.0,0.18590277303431355,10000.0,,251630.0,4.645353999863388,11470.0,0.21174824296957065,61990.0,1.1444004866332769
36,Oklahoma,187462,10394,1594370.0,29820.0,1.8703312280085551,15837.857142857143,1.0338892418271797,2500.714285714286,0.16418764446433465,3010.0,,55920.0,3.5073414577544737,3160.0,0.19819740712632566,22550.0,1.4143517502210905
37,Oregon,134979,5067,1886090.0,51800.0,2.746422493094179,27650.0,1.4659957902327037,6720.0,0.3562926477527584,3430.0,,94630.0,5.0172579251255245,5030.0,0.2666892884220795,33860.0,1.7952483709685114
38,Pennsylvania,2320771,127278,5847690.0,151880.0,2.5972649028932797,63641.111111111124,1.1369814449455495,16300.0,0.2880424970392613,13000.0,,233815.0,4.126149624200237,15000.0,0.2565115455846668,79415.0,1.4031368698117024
39,Rhode Island,401931,14251,482030.0,12850.0,2.6658091820011203,6720.0,1.3941041014044768,1090.0,0.2261270045432857,920.0,,23310.0,4.835798601746778,1730.0,0.3588988237246644,5260.0,1.0912183888969569
40,South Carolina,313173,11859,2062280.0,37870.0,1.8363170859437128,29510.0,1.4309405124425392,2200.0,0.10667804565820356,2930.0,,75750.0,3.673119072094962,3230.0,0.15662276703454428,22900.0,1.1104214752603914
41,South Dakota,122292,1121,422310.0,7890.0,1.868295801662286,3230.0,0.764840993582913,1950.0,0.4617461106769909,720.0,,14790.0,3.5021666548270227,1010.0,0.23916080604295425,3700.0,0.8761336458999314
42,Tennessee,583792,10198,2956920.0,53570.0,1.811682426308456,27790.0,0.9398292818202724,4820.0,0.16300745370182487,4470.0,,96060.0,3.248650622945497,5410.0,0.1829606482420897,36220.0,1.2249232309294806
43,Texas,1553075,41267,12113810.0,349540.0,2.885467082610673,162440.0,1.340948883959712,20600.0,0.17005384763340353,25120.0,,581440.0,4.79981112465855,23740.0,0.19597467683577668,163150.0,1.3468099631742614
44,Utah,245859,2472,1455910.0,49930.0,3.4294702282421303,18590.0,1.2768646413583258,3070.0,0.21086468256966434,2821.666666666666,,55681.428571428565,4.535938074093293,3910.0,0.26856055662781353,22152.857142857134,1.818545665929458
45,Vermont,45230,2320,305210.0,7040.0,2.306608564594869,2920.0,0.9567183250876446,810.0,0.2653910422332165,820.0,,12890.0,4.223321647390321,1310.0,0.4292126732413748,4730.0,1.5497526293371775
46,Virginia,866807,28754,3832840.0,202990.0,5.296072885901838,53170.0,1.3872220077018609,6460.0,0.1768328501261071,9670.0,,289420.0,7.551058744951526,17101.428571428572,0.4722822977627659,55400.0,1.4454034084386511
47,Washington,807848,42371,3259150.0,156540.0,4.803092830952855,54320.0,1.6666922357056289,13870.0,0.4255710844852185,8580.0,,242680.0,7.446113250387371,9360.0,0.28719144562232485,56280.0,1.7268306153444917
48,West Virginia,56158,1950,696620.0,11200.0,1.6077631994487669,5530.0,0.7938330797278287,1510.0,0.2167609313542534,1610.0,,21770.0,3.1250897189285407,1920.0,0.27561654847693146,8100.0,1.1627573138870546
49,Wisconsin,393823,15587,2848560.0,72790.0,2.5553261999045134,37750.0,1.3252309939056923,7090.0,0.2488976886567248,4290.0,,129060.0,4.5307102536018204,7150.0,0.25100401606425704,35790.0,1.2564242985929734
50,Wyoming,28407,281,269320.0,2990.0,1.1102034754195749,2720.0,1.0099509876726571,960.0,0.35645328976682017,1010.0,,8440.0,3.133818505866627,760.0,0.28219218773206595,3980.0,1.4777959304916086
