State,Total Population,Total population_Male,Total population_Female,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,RACE_Total population,White,Black or African American,American Indian and Alaska Native,Asian,Asian Indian,Asian Chinese,Asian Filipino,Asian Japanese,Asian Korean,Asian Vietnamese,Other Asian,Native Hawaiian and Other Pacific Islander,Some other race,Total population!!White,Total population_Black or African American,Total population_American Indian and Alaska Native,Total population_Asian,Total population_Native Hawaiian and Other Pacific Islander,Total population_Some other race,Total population_HISPANIC OR LATINO,Total population_Not Hispanic or Latino
New Hampshire,1356458,669442,687016,62857,68935,76872,91832,85214,167822,154965,189718,111581,101506,146599,67733,30824,1356458,1253931,23432,3562,36048,9712,8141,2931,744,1870,3361,9289,515,9013,1282576,34419,11622,46745,1884,11005,1356458,1303810
Oklahoma,3943079,1950076,1993003,258036,262116,277994,270953,266367,542736,492077,459013,256188,237998,361839,185179,72583,3943079,2845906,287680,307183,84694,18453,11523,4314,2032,7244,20629,20499,3859,110013,3124653,365013,533348,111634,8929,126533,3943079,3514000
Oregon,4190713,2079943,2110770,230515,236914,253861,252056,264987,592655,556833,519480,267232,276569,447596,210633,81382,4190713,3514983,82046,49051,190680,26182,42189,24144,13293,17743,32447,34682,18758,137973,3697861,122063,124112,257861,33831,165867,4190713,3634316
Rhode Island,1057315,515900,541415,54430,56691,55343,74635,75521,146349,123137,140006,73211,75347,103271,52915,26459,1057315,852805,70749,4341,36064,8342,8335,1818,903,1538,1916,13212,883,59743,881270,86469,11871,45191,2378,65845,1057315,888974
Wisconsin,5813568,2891282,2922286,330651,342754,374768,378566,394807,735765,706676,738357,419486,405255,571672,290056,124755,5813568,4957243,370632,50364,165380,33093,26627,8965,4663,8900,6024,77108,1961,121475,5091797,440836,90189,201356,5350,139088,5813568,5409735
Wyoming,577737,292619,285118,35395,34937,40645,40744,32880,77254,72405,67487,38002,41431,59467,27832,9258,577737,528453,3667,16185,5807,435,1863,796,1211,468,40,994,1111,8798,541280,8296,21867,8317,1347,10603,577737,519842
Puerto Rico,3195153,1520415,1674738,125796,167470,181046,210051,222760,381445,396979,422128,214899,211363,361819,217779,81618,3195153,2079304,400936,4013,5144,N,N,N,N,N,N,N,767,551773,2225568,544587,11722,6884,1245,564119,3195153,41136
Arkansas,3013825,1476680,1537145,188092,192523,203502,208021,199748,392937,367053,370343,196034,187896,296808,154699,56169,3013825,2306096,456714,20951,47548,9581,5053,4696,1728,3178,8184,15128,9398,84917,2387735,487767,63583,60225,13359,92978,3013825,2783525
California,39557045,19673553,19883492,2428493,2398894,2646096,2557470,2710448,6034398,5264457,5068026,2485050,2296376,3286461,1651296,729580,39557045,23535388,2283850,302792,5821585,815948,1617484,1299922,279888,470112,674243,663988,155739,5453229,25188735,2788457,799889,6717391,333780,5943787,39557045,24016903
Delaware,967171,467924,499247,54335,51828,62410,59345,59553,127399,112393,122887,68726,67539,107895,54257,18604,967171,659781,217594,4397,39023,15566,8521,3507,612,2020,2152,6645,896,19652,681901,234961,10015,45175,1338,22505,967171,875196
